frame,id,pose,duration_sec,video_time_sec

92,running,4.74,8.02
94,running,4.45,8.02
97,running,4.45,8.02
99,running,4.2,8.02
104,running,3.98,8.02
118,running,2.79,8.02
121,running,2.58,8.02
122,running,2.58,8.02
124,running,2.58,8.02
128,running,2.33,8.02
129,running,2.33,8.02
130,running,2.08,8.02
131,running,2.08,8.02
132,running,1.86,8.02
134,running,1.86,8.02
135,running,1.58,8.02
136,running,1.58,8.02
139,running,1.29,8.02
143,running,1.29,8.02
148,running,1.03,8.02
161,lying,0.23,8.02
161,running,0.12,8.12
164,standing,0.35,8.12
167,standing,0.22,8.19
165,standing,0.36,8.33
172,standing,0.15,8.33
155,running,1.18,8.36
170,standing,0.2,8.36
171,standing,0.2,8.36
173,standing,0.42,8.53
174,standing,0.45,8.73
154,running,1.49,8.83
152,running,2.06,8.86
179,standing,0.03,8.89
152,standing,0.07,8.93
180,standing,0.21,9.03
178,standing,0.45,9.19
171,running,1.14,9.23
182,standing,0.07,9.23
181,standing,0.23,9.36
186,standing,0.04,9.56
133,running,3.95,9.9
137,running,3.95,9.9
138,running,3.95,9.9
141,running,3.66,9.9
147,running,3.66,9.9
153,running,3.14,9.9
157,running,2.86,9.9
166,running,2.15,9.9
167,running,2.15,9.9
180,running,1.13,9.9
181,running,0.65,9.9
191,lying,0.03,9.9
178,running,1.41,10.33
188,standing,0.86,10.43
196,standing,0.16,10.53
170,running,2.95,10.77
173,running,2.72,10.77
199,standing,0.19,10.87
200,standing,0.21,11.03
202,standing,0.18,11.2
205,standing,0.12,11.47
196,running,1.14,11.53
204,standing,0.21,11.53
206,standing,0.03,11.57
198,lying,1.13,11.7
207,standing,0.22,11.87
211,standing,0.03,12.4
212,standing,0.36,12.71
210,lying,0.45,12.77
213,standing,0.22,12.87
216,lying,0.07,12.94
217,standing,0.21,13.04
214,standing,0.44,13.04
215,standing,0.22,13.04
212,running,0.47,13.07
213,running,0.25,13.07
214,running,0.04,13.07
215,running,0.04,13.07
218,standing,0.4,13.21
225,standing,0.06,13.27
199,running,2.81,13.34
200,running,2.61,13.34
201,running,2.43,13.34
202,running,2.43,13.34
204,running,2.04,13.34
207,running,1.65,13.34
223,standing,0.18,13.37
228,standing,0.03,13.41
226,standing,0.18,13.54
219,lying,0.69,13.64
229,standing,0.22,13.71
218,running,0.73,13.84
223,running,0.55,13.84
234,standing,0.19,14.04
226,running,0.74,14.18
235,standing,0.14,14.18
237,lying,0.03,14.24
238,standing,0.03,14.91
234,running,1.02,14.95
240,standing,0.07,14.95
229,running,1.43,14.98
247,standing,0.2,15.21
242,standing,0.38,15.21
244,standing,0.2,15.21
242,running,0.19,15.38
246,standing,0.19,15.38
242,standing,0.09,15.48
246,running,0.35,15.71
244,running,0.72,15.91
